Experimento,Clientes,Pacotes,Armazens,ConsultasCL,ConsultasPC,TempoTotal,TempoProcessamento,NumEventos
PACOTES,100,1000,30,50,50,0m0.021s,0.011566,1100
PACOTES,100,5000,30,50,50,0m0.050s,0.042656,5100
PACOTES,100,10000,30,50,50,0m0.150s,0.131764,10100
PACOTES,100,20000,30,50,50,0m0.372s,0.426953,20100
PACOTES,100,40000,30,50,50,0m2.038s,1.832314,40100
PACOTES,100,50000,30,50,50,0m3.667s,3.664686,50100
PACOTES,100,60000,30,50,50,0m6.121s,4.915357,60100
PACOTES,100,100000,30,50,50,0m22.100s,20.415059,100100

